Date,Open,High,Low,Close,Adj Close,Volume
2020-08-31,169.553802,169.553802,169.553802,169.553802,169.553802,0
2020-09-01,172.500305,172.500305,172.500305,172.500305,172.500305,0
2020-09-02,174.110001,174.110001,174.110001,174.110001,174.110001,0
2020-09-03,172.563797,172.563797,172.563797,172.563797,172.563797,0
2020-09-04,171.744293,171.744293,171.744293,171.744293,171.744293,0
2020-09-07,170.577896,170.577896,170.577896,170.577896,170.577896,0
2020-09-08,169.876205,169.876205,169.876205,169.876205,169.876205,0
2020-09-09,169.447098,169.447098,169.447098,169.447098,169.447098,0
2020-09-10,168.486801,168.486801,168.486801,168.486801,168.486801,0
2020-09-11,170.011307,170.011307,170.011307,170.011307,170.011307,0
2020-09-14,171.382599,171.382599,171.382599,171.382599,171.382599,0
2020-09-15,172.998093,172.998093,172.998093,172.998093,172.998093,0
2020-09-16,174.008194,174.008194,174.008194,174.008194,174.008194,0
2020-09-17,172.774094,172.774094,172.774094,172.774094,172.774094,0
2020-09-18,172.291000,172.291000,172.291000,172.291000,172.291000,0
2020-09-21,171.147705,171.147705,171.147705,171.147705,171.147705,0
2020-09-22,170.582901,170.582901,170.582901,170.582901,170.582901,0
2020-09-23,170.214005,170.214005,170.214005,170.214005,170.214005,0
2020-09-24,167.566406,167.566406,167.566406,167.566406,167.566406,0
2020-09-25,168.137497,168.137497,168.137497,168.137497,168.137497,0
2020-09-28,169.479797,169.479797,169.479797,169.479797,169.479797,0
2020-09-29,168.062805,168.062805,168.062805,168.062805,168.062805,0
2020-09-30,170.211807,170.211807,170.211807,170.211807,170.211807,0
2020-10-01,170.549194,170.549194,170.549194,170.549194,170.549194,0
2020-10-02,170.399399,170.399399,170.399399,170.399399,170.399399,0
2020-10-05,170.783600,170.783600,170.783600,170.783600,170.783600,0
2020-10-06,172.507706,172.507706,172.507706,172.507706,172.507706,0
2020-10-07,173.812607,173.812607,173.812607,173.812607,173.812607,0
2020-10-08,175.488495,175.488495,175.488495,175.488495,175.488495,0
2020-10-09,175.312103,175.312103,175.312103,175.312103,175.312103,0
2020-10-12,177.609100,177.609100,177.609100,177.609100,177.609100,0
2020-10-13,178.519699,178.519699,178.519699,178.519699,178.519699,0
2020-10-14,178.148407,178.148407,178.148407,178.148407,178.148407,0
2020-10-15,176.693695,176.693695,176.693695,176.693695,176.693695,0
2020-10-16,176.982895,176.982895,176.982895,176.982895,176.982895,0
2020-10-19,176.528198,176.528198,176.528198,176.528198,176.528198,0
2020-10-20,176.856094,176.856094,176.856094,176.856094,176.856094,0
2020-10-21,176.815598,176.815598,176.815598,176.815598,176.815598,0
2020-10-22,177.298599,177.298599,177.298599,177.298599,177.298599,0
2020-10-23,177.432098,177.432098,177.432098,177.432098,177.432098,0
2020-10-26,176.539093,176.539093,176.539093,176.539093,176.539093,0
2020-10-27,176.865494,176.865494,176.865494,176.865494,176.865494,0
2020-10-28,176.182693,176.182693,176.182693,176.182693,176.182693,0
2020-10-29,177.336197,177.336197,177.336197,177.336197,177.336197,0
2020-10-30,174.834900,174.834900,174.834900,174.834900,174.834900,0
2020-11-02,176.837296,176.837296,176.837296,176.837296,176.837296,0
2020-11-03,176.380798,176.380798,176.380798,176.380798,176.380798,0
2020-11-04,179.036896,179.036896,179.036896,179.036896,179.036896,0
2020-11-05,182.061493,182.061493,182.061493,182.061493,182.061493,0
2020-11-06,182.848404,182.848404,182.848404,182.848404,182.848404,0
2020-11-09,186.098694,186.098694,186.098694,186.098694,186.098694,0
2020-11-10,184.197998,184.197998,184.197998,184.197998,184.197998,0
2020-11-11,185.024200,185.024200,185.024200,185.024200,185.024200,0
2020-11-12,184.647903,184.647903,184.647903,184.647903,184.647903,0
2020-11-13,185.508499,185.508499,185.508499,185.508499,185.508499,0
